560 1200 1800
0 0 0 0
1 30.0000 0.0000 10.0000
2 29.6307 4.6930 30.0000
3 28.5317 9.2705 30.0000
4 26.7302 13.6197 10.0000
5 24.2705 17.6336 10.0000
6 21.2132 21.2132 30.0000
7 17.6336 24.2705 30.0000
8 13.6197 26.7302 10.0000
9 9.2705 28.5317 10.0000
10 4.6930 29.6307 30.0000
11 0.0000 30.0000 30.0000
12 -4.6930 29.6307 10.0000
13 -9.2705 28.5317 10.0000
14 -13.6197 26.7302 30.0000
15 -17.6336 24.2705 30.0000
16 -21.2132 21.2132 10.0000
17 -24.2705 17.6336 10.0000
18 -26.7302 13.6197 30.0000
19 -28.5317 9.2705 30.0000
20 -29.6307 4.6930 10.0000
21 -30.0000 0.0000 10.0000
22 -29.6307 -4.6930 30.0000
23 -28.5317 -9.2705 30.0000
24 -26.7302 -13.6197 10.0000
25 -24.2705 -17.6336 10.0000
26 -21.2132 -21.2132 30.0000
27 -17.6336 -24.2705 30.0000
28 -13.6197 -26.7302 10.0000
29 -9.2705 -28.5317 10.0000
30 -4.6930 -29.6307 30.0000
31 0.0000 -30.0000 30.0000
32 4.6930 -29.6307 10.0000
33 9.2705 -28.5317 10.0000
34 13.6197 -26.7302 30.0000
35 17.6336 -24.2705 30.0000
36 21.2132 -21.2132 10.0000
37 24.2705 -17.6336 10.0000
38 26.7302 -13.6197 30.0000
39 28.5317 -9.2705 30.0000
40 29.6307 -4.6930 10.0000
41 60.0000 0.0000 10.0000
42 59.2613 9.3861 30.0000
43 57.0634 18.5410 30.0000
44 53.4604 27.2394 10.0000
45 48.5410 35.2671 10.0000
46 42.4264 42.4264 30.0000
47 35.2671 48.5410 30.0000
48 27.2394 53.4604 10.0000
49 18.5410 57.0634 10.0000
50 9.3861 59.2613 30.0000
51 0.0000 60.0000 30.0000
52 -9.3861 59.2613 10.0000
53 -18.5410 57.0634 10.0000
54 -27.2394 53.4604 30.0000
55 -35.2671 48.5410 30.0000
56 -42.4264 42.4264 10.0000
57 -48.5410 35.2671 10.0000
58 -53.4604 27.2394 30.0000
59 -57.0634 18.5410 30.0000
60 -59.2613 9.3861 10.0000
61 -60.0000 0.0000 10.0000
62 -59.2613 -9.3861 30.0000
63 -57.0634 -18.5410 30.0000
64 -53.4604 -27.2394 10.0000
65 -48.5410 -35.2671 10.0000
66 -42.4264 -42.4264 30.0000
67 -35.2671 -48.5410 30.0000
68 -27.2394 -53.4604 10.0000
69 -18.5410 -57.0634 10.0000
70 -9.3861 -59.2613 30.0000
71 0.0000 -60.0000 30.0000
72 9.3861 -59.2613 10.0000
73 18.5410 -57.0634 10.0000
74 27.2394 -53.4604 30.0000
75 35.2671 -48.5410 30.0000
76 42.4264 -42.4264 10.0000
77 48.5410 -35.2671 10.0000
78 53.4604 -27.2394 30.0000
79 57.0634 -18.5410 30.0000
80 59.2613 -9.3861 10.0000
81 90.0000 0.0000 10.0000
82 88.8920 14.0791 30.0000
83 85.5951 27.8115 30.0000
84 80.1906 40.8591 10.0000
85 72.8115 52.9007 10.0000
86 63.6396 63.6396 30.0000
87 52.9007 72.8115 30.0000
88 40.8591 80.1906 10.0000
89 27.8115 85.5951 10.0000
90 14.0791 88.8920 30.0000
91 0.0000 90.0000 30.0000
92 -14.0791 88.8920 10.0000
93 -27.8115 85.5951 10.0000
94 -40.8591 80.1906 30.0000
95 -52.9007 72.8115 30.0000
96 -63.6396 63.6396 10.0000
97 -72.8115 52.9007 10.0000
98 -80.1906 40.8591 30.0000
99 -85.5951 27.8115 30.0000
100 -88.8920 14.0791 10.0000
101 -90.0000 0.0000 10.0000
102 -88.8920 -14.0791 30.0000
103 -85.5951 -27.8115 30.0000
104 -80.1906 -40.8591 10.0000
105 -72.8115 -52.9007 10.0000
106 -63.6396 -63.6396 30.0000
107 -52.9007 -72.8115 30.0000
108 -40.8591 -80.1906 10.0000
109 -27.8115 -85.5951 10.0000
110 -14.0791 -88.8920 30.0000
